OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
1C,1D,1H – Natural 4+ card suit Usually 5+ clubs,1S – FSF (2NT),Appendix 5
Natural 4+ unless 4(poor)333 10-21pts,Natural 4+ suit 5+pts,,1NT – 5-10pts,Natural
,,,2C – weak preference,Natural
,,,"2D – 6 card suit, invitational",Natural
,NB.shouldn’t have:,,2H – minimum raise,Natural (game try)
NB.shouldn’t be,a) 4 card support 10+pts unless 5+D (2C),,2S - heart raise with club shortage,Natural (cue bid
a) 4441 (any) (1D or 1H),,,"2NT – natural, 10-12pts, invitational",Natural
,,,"3C – invitational raise, usually 4 card support",Natural (game try)
b) 4-4 with major unless major poor  (1H or 1S),b) 6+ D suit 3-8pts unless 3+ support (2D),,"3D – good 6+ card suit,",Natural
,,,"3H- natural raise, invitational",Natural (cue bid
,,,3S – limited Splinter raise (hearts),Natural (cue bid)
c) 14-16/19+ bal (1NT/2C/2D),,,"3NT – natural, limited",
,c) 3343 5-10pts (1NT),,4C- RKCB,Appendix 4
,,,4D – very good D with heart support,Natural
,d) 15+pts bal (2NT),,,
,,,,
,,,,
,,1S - Natural 4+ card suit Usually 5+ clubs,AS AFTER 1C-1D-1H  ,
,,,2H- FSF; 3H- S raise with club shortage; 2D- 6+,
,,,3D- good 6+; Raises/NT-natural; 2C- weak,
,,,,
1C,1D,1NT – 11-13pts balanced,2C – FORCES 2D (weak with D or most invit),Appendix 2
Natural 4+ unless 4(poor)333 10-21pts,Natural 4+ suit 5+pts,,"2D – 6 card suit, invitational",
,,,2H/2S – natural (guarantees 5+D),Natural
,,,2NT – FORCES 3C (weak with clubs or GF With 4 card support),Appendix 2
,,,,
,,,"3C – natural, invitational raise",Natural (values)
,,,"3D – good 6+ card suit,",Natural
,,,3H/3S – Self splinter with (semi) solid suit,Natural (cue bid)
,,,3NT – natural,Natural
,,,,
,,,,
,,,,
,,,,
,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
1C,1D,"2C – usually 6+ clubs, limited","2D – 6 card suit, invitational",Natural
Natural 4+ unless 4(poor)333 10-21pts,Natural 4+ suit 5+pts,,2H/2S – natural (2NT),Natural
,,,"2NT -natural, 10-12pts",Natural
,,,3C – invitational raise,Natural (game try)
,,,"3D – good 6+ card suit,",Natural
,,,"3H/3S – Splinter, club raise",Natural (cue bid)
,,,"3NT – natural, limited",Natural
,,,,
,,,,
1C,1D,"2D – 4 card raise, minimum",2H/2S – natural (2NT),Natural
Natural 4+ unless 4(poor)333 10-21pts,Natural 4+ suit 5+pts,,"2NT -natural, 10-12pts",Natural
,,,3C- invitational with fit,Natural
,,,3D- obstructive,Natural
,,,3H/3S – Splinter,Natural (cue bid)
,,,"3NT – natural, limited",Natural
,,,,
,,,,
,,2H – strong distributional (6-4+) 2 suiter,2S- FSF,Appendix 5
,,,2NT – weak hand (5-8pts),Natural
,,,3C/3H – non minimum raise,Natural
,,,3D – 6 card suit,Natural
,,,,
,,,,
,,2S – strong and distributional (6-4+) 2 suiter,AS AFTER 1C-1D-2H  ,
,,,3H- FSF,Appendix 5
,,,2NT – weak hand (5-8pts),Natural
,,,3C/3S – non minimum raise,Natural
,,,3D – 6 card suit,Natural
,,,,
,,2NT – 17-18pts balanced,3C – Natural with 4 card support,Natural
,,,3D – 6 card suit,Natural
,,,3H/3S – Natural,Natural
,,,3NT – to play,Natural
,,,,
,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
1C,1D,"3C – good 6+ card suit, 7-8 playing tricks",3D – 6 card suit,Natural
Natural 4+ unless 4(poor)333 10-21pts,Natural 4+ suit 5+pts,,3H/3S- Natural (in principle but may be values),
,,,3NT – to play,Natural (cue bid)
,,,,
,,,,
,,3D- invitational raise (15+ unbal/pos 17-18 bal),3H/3S- Natural (in principle but may be values),Natural (cue bid)
,,,"3NT – natural, limited",
,,,,
,,3H/3S – Splinter raise,ALL non game bids are slam tries,Natural (cue bid)
