OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?,
,,,,,
1S,1NT,Most sequences are identical those following 1H-1NT:,,,
Natural 4+,5-12pts,"2D- natural (5-4), 10-15pts","2H- 5+card suit, weak; 2S- 2/3 spades weak;",,
10-21pts,,,"2NT – natural 10-12pts; 3C- 6+ suit, weak;",Natural,
,shouldn’t have:,,"3D- natural; 3H- Splinter, maximum; 3S- card raise",,
,a) 3+ card support,,,,
,unless balanced,"2H- natural (5-4), 10-15pts","2S- 2/3 spades weak; 2NT- natural, 10-12pts",,
,,,3C/3D- 5-9pts 6 card suit; 3H/3S- natural raise,,
,,,,,
,,2S- 6+ minimum,2NT – natural 10-12pts; 3S- 2/3 card raise,,
,,,"3C/3D/3H- 5-9pts 6 card suit, poor support",,
,,,,,
,,2NT- 17-18pts balanced,3C/3D/3H- 5-7pts poor 6 card suit;,,
,,,"3S- 3 card support, offers choice of game",,
,,,,,
,,"3C/3D/3H- good 5-5, invitational",3S- weak preference; New Suit- values non min,,
,,,,,
,,"3S- good 6 card suit, invitational",Natural,,
,,,,,
,,,,,
1S,1NT,Sequences which are (slightly) different:,,,
Natural 4+,5-12pts,2C – 5+S and 4+C 10-15pts,2D- ALL 9+pts hands (except 3 card support),Appendix 6,
10-21pts,,     or hands with 5+S and 4+C/D/H 16+pts,2H- 5-9pts 4+ hearts (if 6H 5-7pts; if 4H only 0/1S),Appendix 6,
,,     or very strong spade one suiter,2S- 5-9pts 2/3 spades,Appendix 6,
,,,2NT- 5-9pts 0/1 spade (guarantees 4+ clubs),Appendix 6,
,,,3C/3D- 5-9pts 6 card suit,Appendix 6,
,,,3H- 8-9pts 6 hearts,,
,,,"3S- 3 card support balanced, invitational",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?,
,,,,,
1S,2C*,Generally sequences are similar to those following 1H-2C:,,,
Natural 4+,Two way; either,2D- either no immediate game interest opposite,2S-unbalanced invitational 3 card raise,2NT- 17-18 bal;,
10-21pts,Natural 4+ suit,3 card raise (often only 4 card suit; denies 4H),,3C/D/H/S- game try,
,Game Forcing,or very strong single suiter or bal 17-18 bal,,3NT/4C/D/H- slam try,
,,,ALL OTHER BIDS SHOW GAME FORCE WITH CLUBS,,
,or,,"2H- natural, 5+C-4H",Natural,
,unbal (sing/void),,"2NT- natural (in principle), non minimum",Appendix 1,
,invitational,,"3C- good suit, invites support on Hx",Natural,
,3 card raise,,"3D- natural 5+C-4+D, non minimum",Natural,
,,,"3S- 3+ card support, slam try",cue bids,
,(* By PASSED,,"3H/4D- Splinter, 4 card support and a good C suit",cue bids,
,HAND is natural,,"3NT- natural, minimum",Appendix 1,
,"9+pts, invitational)",,4C- 4 card support and 6+ very good clubs,cue bids,
,,,,,
,,2S- 5+ spades GF but limited,"4S- 3 card raise, minimum",,
,,      ,"4C/4D/4H- Splinter, 3 card raise",Natural (cue bid),
,,,ALL OTHER BIDS SHOW GAME FORCE WITH CLUBS,,
,,,"2NT- natural (in principle), non minimum",Appendix 1,
,,,"3C- good club suit, invites support",Natural,
,,,3D/3H- natural (5-4) not minimum,Natural,
,,,"3S- 3 card support, slam try",Natural (cue bid),
,,,"3NT- natural, minimum",Natural,
,,,,,
,,"2NT-5-4 with diamonds, non minimum (15+pts)",4C/4H- Splinter.limited 3 card raise,Natural (cue bid),
,,,"4S- 3 card raise, shortage in openers 2nd suit (D)",,
,,,ALL OTHER BIDS SHOW GAME FORCE WITH CLUBS,,
,,,"3C- good club suit, invites support",Natural,
,,,3D- natural raise,Natural (cue bid),
,,,3S- non minimum raise,Natural (cue bid),
,,,"3H- natural, non minimum",Natural,
,,,"3NT- natural, minimum",Natural,
,,,"4D- agrees suit, shortage in S",Natural (cue bid),
,,,,,
,,,,,
,,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?,
,,,,,
